X;Y;site_id
4195282.399;7191136.005;1462
4195089.816;7214192.383;1459
4195105.289;7207439.627;1460
4195131.338;7211170.516;1327
4195192.954;7210632.243;1328
4194602.682;7185926.589;1323
4194700.198;7208645.187;1324
4195039.722;7211873.325;1325
4195134.399;7209005.654;1326
4194098.405;7213823.87;1458
4194314.643;7213016.535;1320
4194425.684;7208805.245;1321
4194459.47;7181878.941;1322
4193782.369;7196953.154;1316
4193801.85;7209546.861;1317
4193849.439;7192343.818;1318
4194102.635;7196131.682;1319
4192691.827;7196774.524;1312
4192890.533;7194776.717;1313
4193447.075;7209971.707;1314
4193438.002;7183520.8;1315
4192070.386;7208594.278;1309
4192128.94;7207606.606;1310
4192325.747;7215612.608;1457
4192392.823;7225637.832;1311
4194409.097;7200746.85;2002
4178539.057;7193272.782;2000
4196406.614;7203500.914;2003
4179722.494;7200353.872;2001
4202096.432;7224078.499;2009
4200146.838;7223080.204;2006
4198090.711;7221747.467;2005
4187663.47;7216049.684;2004
4163969.339;7210690.399;1380
4164772.732;7211949.007;1381
4206523.831;7226515.898;2008
4204407.758;7225912.485;2007
4212355.636;7199942.187;1376
4212324.133;7196064.133;1377
4213358.402;7199617.493;1378
4214176.266;7199542.88;1379
4208273.383;7203112.362;1372
4209627.307;7202206.956;1373
4210441.664;7201467.172;1374
4211291.31;7200777.46;1375
4204044.69;7201837.673;1476
4205346.238;7204503.763;1370
4205994.84;7209810.293;1371
4207026.605;7210966.434;1477
4201315.025;7190678.946;1473
4201929.842;7211271.226;1474
4202290.183;7206886.483;1369
4202795.685;7195970.077;1475
4199505.415;7203748.832;1365
4199832.917;7206064.734;1366
4200570.854;7206096.222;1367
4200961.975;7211060.955;1368
4198543.503;7200773.468;1472
4198655.917;7205977.142;1362
4198691.558;7192236.987;1363
4198675.139;7206349.739;1364
4198452.221;7201370.01;1360
4198433.074;7211216.778;1470
4198501.647;7216483.454;1471
4198546.398;7199494.786;1361
4184899.463;7203369.017;1060
4184283.421;7203167.039;1061
4184004.231;7202730.485;1062
4183743.967;7202249.837;1063
4186735.845;7206209.804;1056
4186334.538;7205587.117;1057
4185990.347;7204671.999;1058
4185344.017;7204081.495;1059
4186982.139;7210923.41;1052
4186475.19;7211068.284;1053
4187107.429;7208112.796;1054
4187102.03;7206778.028;1055
4187449.706;7209344.877;1048
4187932.307;7209984.365;1049
4188052.946;7210576.319;1050
4187568.236;7210758.836;1051
4196455.261;7211881.607;1044
4197290.196;7211817.105;1045
4188672.303;7208448.879;1046
4187775.736;7209005.369;1047
4193065.442;7210538.94;1040
4193590.788;7211094.27;1041
4194419.394;7211722.344;1042
4195540.604;7212104.181;1043
4191025.263;7208889.176;1036
4191462.686;7209334.927;1037
4192024.223;7209735.054;1038
4192661.938;7210705.438;1039
4196510.921;7205281.88;1032
4197138.819;7204654.32;1033
4197574.134;7204215.782;1034
4197976.706;7203991.364;1035
4194911.42;7207165.684;1028
4195283.09;7206645.341;1029
4195682.091;7206169.279;1030
4196152.194;7205644.19;1031
4191456.793;7207579.87;1024
4192444.253;7207316.418;1025
4193463.049;7207379.212;1026
4194166.532;7207405.376;1027
4188661.95;7206455.525;1020
4189545.374;7207900.101;1021
4190279.645;7207603.466;1022
4190585.996;7207973.115;1023
4188529.759;7204619.891;1016
4188347.139;7205329.819;1017
4188190.473;7206141.293;1018
4187605.848;7206477.43;1019
4186214.814;7202529.475;1012
4187011.138;7203507.285;1013
4187845.756;7203381.189;1014
4188843.401;7203844.312;1015
4184231.493;7201760.275;1008
4185113.362;7201362.089;1009
4185541.543;7202293.222;1010
4185869.278;7202716.222;1011
4183868.307;7199453.832;1004
4183999.389;7200201.21;1005
4184081.988;7200628.118;1006
4184116.168;7201274.887;1007
4183479.75;7196657.182;1000
4183625.841;7197361.5;1001
4183654.076;7197752.38;1002
4183750.646;7198382.715;1003
4171361.621;7203642.608;1392
4171686.619;7211921.305;1114
4171959.129;7222111.395;1115
4172043.843;7202416.611;1116
4170660.364;7224404.014;1110
4170779.198;7201514.803;1111
4171089.779;7201087.182;1112
4171287.316;7222838.062;1113
4169761.626;7202770.326;1106
4170359.412;7212879.242;1107
4170475.574;7224638.671;1108
4170547.208;7201248.796;1109
4169012.056;7225572.603;1103
4169074.228;7222557.225;1391
4169586.91;7225212.901;1104
4169595.649;7223469.649;1105
4168113.764;7201323.901;1389
4168215.51;7204913.784;1390
4168395.959;7225977.716;1101
4168984.338;7214345.126;1102
4167270.463;7215257.168;1099
4167714.127;7196514.094;1387
4167814.203;7205313.268;1388
4167998.048;7226892.35;1100
4166023.072;7228335.952;1384
4166990.55;7193629.506;1385
4167069.921;7202425.453;1386
4167251.924;7198336.934;1098
4162071.898;7197273.652;1383
4163068.264;7216843.424;1095
4164766.888;7198976.32;1096
4165390.611;7207921.353;1097
4157875.042;7193257.586;1092
4160104.104;7218105.399;1093
4161766.215;7196972.822;1382
